,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse,test_mae,test_acc,likely_rmse,likely_mae,likely_acc,likely_range
32,GRU_seq_true_ver_9,GRU,9,True,12.03,7.91,0.97,21.47,14.88,0.8700000047683716,31.02,25.02,0.97,15.67,9.97,0.98,365
33,GRU_seq_true_ver_10,GRU,10,True,8.76,5.82,1.0,22.46,16.38,0.9300000071525574,32.12,26.68,0.949999988079071,23.41,16.88,0.9599999785423279,365
34,GRU_seq_true_ver_11,GRU,11,True,10.53,7.16,1.059999942779541,36.71,33.9,2.4700000286102295,19.29,15.27,1.3600000143051147,36.46,33.75,2.6500000953674316,365
35,GRU_seq_true_ver_12,GRU,12,True,10.39,6.5,0.9900000095367432,17.46,12.41,0.8600000143051147,22.6,16.57,0.5600000023841858,14.97,10.73,0.9200000166893005,365
36,LSTM_seq_true_ver_1,LSTM,1,True,7.63,5.45,0.9700000286102295,21.28,14.65,0.30000001192092896,22.42,18.66,1.2300000190734863,24.57,17.77,0.5199999809265137,365
37,LSTM_seq_true_ver_2,LSTM,2,True,6.72,4.84,0.9800000190734863,22.91,16.45,0.20000000298023224,24.3,20.43,1.33,27.21,20.43,0.52,365
38,LSTM_seq_true_ver_3,LSTM,3,True,8.29,6.05,1.0299999713897705,30.49,27.95,2.2100000381469727,19.86,16.79,1.2999999523162842,30.66,28.29,2.369999885559082,365
39,LSTM_seq_true_ver_4,LSTM,4,True,9.04,6.31,0.8899999856948853,23.39,16.95,0.30000001192092896,25.15,18.98,0.46000000834465027,21.43,16.08,0.3799999952316284,365
40,LSTM_seq_true_ver_5,LSTM,5,True,8.25,5.94,1.0099999904632568,35.6,31.73,2.569999933242798,13.87,10.07,0.9100000262260437,37.88,35.64,2.799999952316284,365
41,LSTM_seq_true_ver_6,LSTM,6,True,8.07,5.85,1.0399999618530273,25.65,22.95,1.9800000190734863,13.67,10.7,1.059999942779541,26.79,24.57,2.1500000953674316,365
42,LSTM_seq_true_ver_7,LSTM,7,True,8.78,6.34,0.9700000286102295,17.45,12.86,0.9700000286102295,23.87,17.83,0.5799999833106995,16.25,12.74,1.0299999713897705,365
43,LSTM_seq_true_ver_8,LSTM,8,True,44.5,32.99,1.31,56.91,45.23,2.02,63.84,59.67,1.38,45.49,33.77,1.55,365
44,LSTM_seq_true_ver_9,LSTM,9,True,8.81,6.1,0.9800000190734863,32.44,29.03,2.4100000858306885,17.47,14.71,1.2999999523162842,35.06,32.83,2.630000114440918,365
45,LSTM_seq_true_ver_10,LSTM,10,True,9.69,7.11,1.1100000143051147,29.28,24.18,1.75,21.44,18.38,1.31,32.97,29.18,1.91,365
46,LSTM_seq_true_ver_11,LSTM,11,True,68.8,59.1,3.68,81.61,78.42,4.71,71.2,69.32,3.06,84.9,83.58,5.3,365
47,LSTM_seq_true_ver_12,LSTM,12,True,38.14,27.88,0.75,53.36,41.41,1.82,45.65,40.33,0.36,48.98,36.92,1.8,365
48,TimeDistributedCNNLSTM_seq_true_ver_1,TimeDistributedCNNLSTM,1,True,4.45,2.95,0.95,23.46,17.05,0.15,33.43,26.91,0.25,22.34,16.73,0.14,365
49,TimeDistributedCNNLSTM_seq_true_ver_2,TimeDistributedCNNLSTM,2,True,2.44,1.58,1.0099999904632568,22.72,18.3,1.4600000381469727,16.58,13.35,1.1100000143051147,23.19,20.05,1.4900000095367432,365
50,TimeDistributedCNNLSTM_seq_true_ver_3,TimeDistributedCNNLSTM,3,True,2.23,1.43,1.01,27.01,20.59,1.3,10.55,8.16,0.98,35.52,30.75,2.04,365
51,TimeDistributedCNNLSTM_seq_true_ver_4,TimeDistributedCNNLSTM,4,True,1.56,1.1,1.01,1.29,0.94,0.99,14.89,10.25,0.82,12.99,9.26,0.86,365
52,TimeDistributedCNNLSTM_seq_true_ver_5,TimeDistributedCNNLSTM,5,True,10.59,7.22,0.87,21.84,15.16,0.25,29.95,21.39,0.44,22.31,16.68,0.15,365
53,TimeDistributedCNNLSTM_seq_true_ver_6,TimeDistributedCNNLSTM,6,True,10.53,7.13,0.9900000095367432,17.36,14.02,1.3700000047683716,17.98,14.3,1.0800000429153442,17.33,14.44,1.440000057220459,365
54,TimeDistributedCNNLSTM_seq_true_ver_7,TimeDistributedCNNLSTM,7,True,2.75,1.88,0.9700000286102295,21.4,16.3,1.2999999523162842,10.12,7.57,0.949999988079071,24.34,20.47,1.350000023841858,365
55,TimeDistributedCNNLSTM_seq_true_ver_8,TimeDistributedCNNLSTM,8,True,10.0,6.97,1.0,10.06,7.14,1.01,14.22,10.54,0.949999988079071,13.87,10.91,1.090000033378601,365
56,TimeDistributedCNNLSTM_seq_true_ver_9,TimeDistributedCNNLSTM,9,True,12.12,8.06,0.94,19.88,14.79,1.03,24.99,20.36,0.8700000047683716,21.44,16.5,1.1699999570846558,365
57,TimeDistributedCNNLSTM_seq_true_ver_10,TimeDistributedCNNLSTM,10,True,10.12,7.29,1.0399999618530273,20.29,16.21,1.4199999570846558,18.49,15.31,1.190000057220459,20.37,17.12,1.5,365
58,TimeDistributedCNNLSTM_seq_true_ver_11,TimeDistributedCNNLSTM,11,True,12.45,8.55,0.99,24.75,19.52,1.23,11.26,9.17,1.06,25.25,21.75,1.37,365
59,TimeDistributedCNNLSTM_seq_true_ver_12,TimeDistributedCNNLSTM,12,True,13.21,8.71,1.0,14.06,10.02,1.100000023841858,13.84,10.52,0.9900000095367432,13.85,10.92,1.2300000190734863,365
60,CNN_seq_true_ver_1,CNN,1,True,2.58,1.93,1.04,36.97,33.68,2.6700000762939453,14.04,10.85,1.0700000524520874,40.54,37.97,2.9100000858306885,365
61,CNN_seq_true_ver_2,CNN,2,True,2.38,1.52,0.98,24.28,21.06,1.8799999952316284,13.66,10.25,0.9399999976158142,25.37,23.19,2.0299999713897705,365
62,CNN_seq_true_ver_3,CNN,3,True,2.02,1.37,1.0,6.05,4.0,1.01,12.02,8.83,1.01,27.59,20.96,1.27,365
63,CNN_seq_true_ver_4,CNN,4,True,2.34,1.62,1.0,2.89,1.95,0.99,14.33,11.19,0.73,21.51,15.3,0.86,365
64,CNN_seq_true_ver_5,CNN,5,True,10.15,7.62,1.08,22.33,18.39,1.590000033378601,14.06,11.15,1.0199999809265137,27.36,24.21,1.909999966621399,365
65,CNN_seq_true_ver_6,CNN,6,True,15.69,11.59,1.29,25.89,20.1,0.0,31.18,27.47,1.7100000381469727,28.44,24.88,2.069999933242798,365
66,CNN_seq_true_ver_7,CNN,7,True,1.87,1.27,1.01,14.33,9.87,1.12,10.7,7.81,0.98,22.44,17.98,1.21,365
67,CNN_seq_true_ver_8,CNN,8,True,9.76,6.9,1.04,9.82,6.98,1.04,14.51,11.09,0.76,12.38,8.08,1.03,365
68,CNN_seq_true_ver_9,CNN,9,True,12.0,7.98,0.98,17.52,13.32,1.18,18.19,14.12,0.8399999737739563,19.14,16.13,1.3700000047683716,365
69,CNN_seq_true_ver_10,CNN,10,True,10.6,7.57,1.05,23.16,18.79,1.51,14.92,12.52,1.1200000047683716,22.86,19.98,1.6399999856948853,365
70,CNN_seq_true_ver_11,CNN,11,True,12.39,8.51,1.01,16.29,12.18,1.06,12.54,10.32,1.15,16.44,12.07,0.99,365
71,CNN_seq_true_ver_12,CNN,12,True,13.53,9.05,1.12,14.41,9.93,1.04,12.49,9.57,0.91,11.25,8.08,1.13,365
72,MultiCNN_seq_true_ver_1,MultiCNN,1,True,8.63,5.76,0.92,16.73,11.76,0.8199999928474426,23.0,16.79,0.5400000214576721,15.33,10.61,0.8199999928474426,365
73,MultiCNN_seq_true_ver_2,MultiCNN,2,True,6.08,3.72,0.93,22.75,18.11,0.98,14.16,10.16,0.9200000166893005,23.13,18.43,1.0099999904632568,365
74,MultiCNN_seq_true_ver_3,MultiCNN,3,True,3.05,2.29,0.9700000286102295,5.7,4.01,0.96,11.21,8.64,0.99,9.18,6.37,1.0,365
75,MultiCNN_seq_true_ver_4,MultiCNN,4,True,2.6,1.86,0.96,2.58,1.92,0.99,11.93,9.95,1.04,10.0,7.37,1.04,365
76,MultiCNN_seq_true_ver_5,MultiCNN,5,True,12.55,8.85,0.9200000166893005,17.96,14.35,1.0099999904632568,27.25,20.53,0.4300000071525574,17.8,12.81,1.0399999618530273,365
77,MultiCNN_seq_true_ver_6,MultiCNN,6,True,11.16,7.33,0.9,20.01,15.03,0.99,17.82,13.42,0.87,21.84,16.97,0.98,365
78,MultiCNN_seq_true_ver_7,MultiCNN,7,True,3.53,2.54,0.94,4.37,3.21,0.99,12.44,9.21,0.89,20.36,15.22,1.06,365
