,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse_60,test_mae_60,test_acc_60,test_rmse_30,test_mae_30,test_acc_30,test_rmse_7,test_mae_7,test_acc_7,n_parameters
36,LSTM_seq_true_ver_5,LSTM,5,True,8.25,5.94,1.01,35.6,31.73,2.57,13.87,10.07,0.91,26.24,22.25,0.51,15.02,12.61,0.87,1084503
37,LSTM_seq_true_ver_6,LSTM,6,True,8.07,5.85,1.04,25.65,22.95,1.98,13.67,10.7,1.06,22.13,18.12,0.61,11.56,8.94,0.96,1084503
38,LSTM_seq_true_ver_7,LSTM,7,True,8.78,6.34,0.97,17.45,12.86,0.97,23.87,17.83,0.58,32.72,28.68,0.37,16.32,13.1,0.92,1084503
39,LSTM_seq_true_ver_8,LSTM,8,True,44.5,32.99,1.31,56.91,45.23,2.02,63.84,59.67,1.38,47.54,45.17,0.0,59.99,58.29,0.0,1084503
40,LSTM_seq_true_ver_9,LSTM,9,True,8.81,6.1,0.98,32.44,29.03,2.41,17.47,14.71,1.3,26.78,22.72,0.5,14.02,10.96,0.91,1085707
41,LSTM_seq_true_ver_10,LSTM,10,True,9.69,7.11,1.11,29.28,24.18,1.75,21.44,18.38,1.31,16.6,12.96,0.78,14.2,11.39,1.12,1085707
42,LSTM_seq_true_ver_11,LSTM,11,True,68.8,59.1,3.68,81.61,78.42,4.71,71.2,69.32,3.06,59.71,57.83,2.28,46.91,44.71,1.77,1085707
43,LSTM_seq_true_ver_12,LSTM,12,True,38.14,27.88,0.75,53.36,41.41,1.82,45.65,40.33,0.36,47.54,45.17,0.0,59.99,58.29,0.0,1085707
44,CNN_seq_true_ver_1,CNN,1,True,2.58,1.93,1.04,36.97,33.68,2.67,14.04,10.85,1.07,19.23,15.85,0.66,20.25,18.29,0.71,929513
45,CNN_seq_true_ver_2,CNN,2,True,2.38,1.52,0.98,24.28,21.06,1.88,13.66,10.25,0.94,18.18,14.46,0.7,25.73,23.33,0.6,1569513
46,CNN_seq_true_ver_3,CNN,3,True,2.02,1.37,1.0,6.05,4.0,1.01,12.02,8.83,1.01,14.31,10.92,0.95,11.15,8.89,0.85,3169513
47,CNN_seq_true_ver_4,CNN,4,True,2.34,1.62,1.0,2.89,1.95,0.99,14.33,11.19,0.73,19.16,16.23,0.68,22.4,21.55,0.63,4769513
48,CNN_seq_true_ver_5,CNN,5,True,10.15,7.62,1.08,22.33,18.39,1.59,14.06,11.15,1.02,21.67,18.64,0.59,18.92,17.1,0.76,930515
49,CNN_seq_true_ver_6,CNN,6,True,15.69,11.59,1.29,25.89,20.1,0.0,31.18,27.47,1.71,20.97,18.78,1.39,13.08,11.51,1.11,1570515
